sample_id;culture;oprl1;SSU_16S
S3247;1;1;1
S3147;0;0;0
S3104;0;0;0
S1042;0;1;1
S1001;1;0;0
S1103;1;1;1
S2372;0;0;0
S1148;0;0;0
S2311;0;0;0
S2170;0;0;0
S1048;0;1;0
S3165;0;1;0
S1080;0;0;0
S3151;0;0;0
S1036;0;1;0
S3133;0;0;0
S3053;0;0;1
S1075;0;0;0
S3036;0;0;0
S3022;0;0;0
S1015;0;0;0
S1429;0;1;0
S1262;0;0;0
S1230;0;0;0
S2423;0;0;0
S2397;0;0;1
S2351;0;0;0
S3152;0;0;0
S3102;0;0;0
S3080;0;0;0
S2148;0;0;1
S2042;0;0;0
S1270;1;1;1
S3158;0;0;0
S3143;0;0;0
S3131;0;0;0
S3123;0;0;0
S2327;1;1;1
S2432;1;1;1
S3092;0;0;0
S3067;0;1;0
S1511;1;1;1
S3050;0;0;0
S3039;0;0;0
S1107;0;0;0
S3017;0;0;0
S1096;0;0;0
S1091;0;0;0
S1086;0;0;0
S2309;0;0;1
S3284;0;0;0
S1078;0;0;0
S1082;0;0;0
S1053;0;0;0
S3256;0;0;0
S2325;1;1;1
S2323;1;1;1
S1043;0;0;0
S3292;0;0;0
S3203;0;0;0
S3145;0;0;0
S2179;0;0;1
S2178;0;1;0
S2051;0;1;0
S3089;0;0;0
S1222;0;1;1
S2176;0;0;0
S1193;0;1;0
S3208;1;1;1
S2123;0;0;0
S2124;0;0;0
S1126;0;1;1
S3057;0;0;0
S1117;0;1;1
S3182;0;1;0
S3162;0;0;0
S1106;0;1;0
S2060;0;0;0
S2061;0;0;0
S3239;1;1;1
S3136;0;0;0
S1090;0;0;0
S3126;0;0;0
S2296;0;0;0
S2007;0;0;0
S2006;0;0;0
S2346;0;0;0
S1530;0;0;0
S3265;0;0;1
S1400;0;0;1
S3167;0;0;0
S1353;0;0;0
S2015;1;1;1
S1177;0;0;0
S2203;0;0;1
S2149;0;0;0
S2382;0;0;0
S3064;0;0;0
S1383;0;0;0
S2316;1;1;1
S3270;0;0;1
S2345;0;0;0
S2120;0;0;0
S3230;0;0;0
S2052;0;0;0
S1219;0;0;0
S2210;0;0;1
S2321;0;0;0
S2206;0;0;0
S1111;0;0;0
S3004;0;0;1
S2182;0;0;1
S2058;0;0;1
S2193;1;1;1
S2407;0;0;0
S2153;0;0;0
S2145;0;0;0
S2378;0;0;0
S2135;0;0;0
S2428;0;0;0
S2347;0;0;0
S3026;1;1;1
S3118;0;0;0
S2101;0;0;1
S2375;0;0;0
S3258;0;0;0
S3125;0;0;0
S2070;0;0;0
S2205;0;1;1
S2041;0;0;0
S3098;0;0;0
S2027;0;0;0
S3048;0;0;0
S2019;0;0;0
S3202;0;0;0
S1284;1;1;1
S3061;0;0;0
S3252;0;0;0
S1039;0;1;0
S2131;0;0;0
S3025;0;0;1
S1037;0;0;0
S2303;0;0;1
S3043;0;0;0
S1029;0;0;1
S2171;0;1;0
S3009;0;0;1
S3210;0;0;0
S2315;0;0;0
S2140;0;0;0
S2332;0;1;1
S2086;0;0;1
S2115;1;1;1
S3257;0;0;0
S2299;0;0;1
S2096;0;1;1
S3232;0;0;0
S3032;0;0;1
S2065;0;1;0
S2030;0;0;0
S3086;0;0;0
S3209;0;0;0
S2104;1;1;1
S3181;0;1;0
S2001;0;0;0
S3155;0;0;0
S2100;1;1;1
S2082;0;0;1
S3127;0;0;0
S2306;0;0;0
S2056;0;0;0
S2029;0;0;0
S2005;0;0;0
S2003;0;1;1
S3111;0;0;0
S2112;1;1;0
S2080;0;1;0
S2395;1;1;1
S2049;0;0;1
S2344;0;0;1
S3007;1;1;0
S2208;0;0;0
S2180;0;1;0
S2154;0;0;0
S2122;0;1;1
S2069;0;0;1
S2012;0;0;0
S1003;0;0;0
